Zip,State,Population
36768,AL,1658
36769,AL,2623
36771,AL,112
36773,AL,715
36775,AL,1683
36776,AL,1684
36779,AL,1191
36782,AL,2444
36783,AL,1527
36784,AL,6229
36785,AL,1396
36786,AL,4173
36790,AL,916
36792,AL,434
36793,AL,337
36801,AL,32808
36830,AL,38908
36850,AL,2422
36852,AL,4597
36853,AL,7620
36854,AL,9504
36855,AL,2400
36858,AL,772
36860,AL,1727
36861,AL,2236
36862,AL,7045
36863,AL,12083
36866,AL,3361
36867,AL,13632
36869,AL,28320
36871,AL,1525
36874,AL,2773
36875,AL,1949
36877,AL,10605
36879,AL,1689
36904,AL,4957
36907,AL,1184
36908,AL,1606
36910,AL,480
36912,AL,2313
36915,AL,618
36916,AL,1459
36919,AL,2600
36921,AL,1980
36922,AL,274
36925,AL,5728
98791,AK,5345
99501,AK,14436
99502,AK,15891
99503,AK,12534
99504,AK,32383
99505,AK,7979
99506,AK,7907
99507,AK,20128
99508,AK,29857
99515,AK,17094
99516,AK,18356
99517,AK,15192
99518,AK,8116
99549,AK,119
99551,AK,481
99552,AK,285
99553,AK,589
99554,AK,1186
99555,AK,185
99556,AK,1698
99557,AK,352
99558,AK,296
99559,AK,7188
99561,AK,320
99563,AK,0
99564,AK,188
99565,AK,186
99567,AK,6910
99568,AK,133
99569,AK,68
99571,AK,475
99572,AK,252
99573,AK,1389
99574,AK,96
99575,AK,1
99576,AK,2711
99577,AK,18429
99578,AK,254
99579,AK,122
99580,AK,77
99581,AK,0
99583,AK,68
99585,AK,530
99586,AK,394
99588,AK,1024
99589,AK,305
99590,AK,0
99591,AK,138
99602,AK,277
99603,AK,8186
99604,AK,1443
99606,AK,362
99607,AK,172
99610,AK,963
99611,AK,10508
99612,AK,451
99613,AK,480
99614,AK,470
99615,AK,13309
99620,AK,462
99621,AK,558
99622,AK,572
99625,AK,204
99626,AK,291
99627,AK,618
99628,AK,385
99630,AK,177
99631,AK,1649
99632,AK,788
99633,AK,0
99634,AK,328
99636,AK,586
99638,AK,42
99639,AK,767
99640,AK,233
99645,AK,12358
99647,AK,59
99648,AK,143
99649,AK,63
99650,AK,463
99651,AK,4
99653,AK,7
99654,AK,10404
99655,AK,501
99656,AK,159
99657,AK,0
99658,AK,576
99659,AK,295
99660,AK,763
99661,AK,881
99662,AK,343
99664,AK,3937
99665,AK,139
99668,AK,0
99669,AK,9825
99670,AK,929
99671,AK,400
99672,AK,3814
99676,AK,1420
99679,AK,358
99681,AK,889
99682,AK,277
99683,AK,20
99684,AK,716
99685,AK,3089
99686,AK,7049
99687,AK,14215
99688,AK,1237
99689,AK,705
99691,AK,109
99692,AK,3
99701,AK,19316
99702,AK,5266
99703,AK,6238
99704,AK,440
99705,AK,14672
99709,AK,23238
99712,AK,8141
99714,AK,890
99720,AK,170
99721,AK,260
