Zipcode,Population,Household Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate
00901,6444.0,13620.0,2783.0,43.18746120422098,461.0,7.153941651148355
00906,36.0,,0.0,0.0,0.0,0.0
00907,17696.0,32570.0,4978.0,28.130650994575046,869.0,4.910714285714286
00909,5910.0,16891.0,2993.0,50.642978003384094,492.0,8.3248730964467
00911,7595.0,26611.0,2136.0,28.12376563528637,426.0,5.608953258722844
00912,6541.0,18960.0,2848.0,43.54074300565663,698.0,10.671151200122306
00913,8255.0,6926.0,5831.0,70.63597819503332,828.0,10.030284675953967
00915,31812.0,13150.0,18937.0,59.5278511253615,3494.0,10.983276750911605
00917,20557.0,16802.0,9733.0,47.34640268521672,1945.0,9.461497300189716
00918,16472.0,26573.0,6270.0,38.064594463331716,972.0,5.900922778047596
00920,18540.0,25463.0,5945.0,32.06580366774541,1409.0,7.599784250269687
00921,38077.0,18417.0,17332.0,45.51829188223862,3222.0,8.461801087270532
00923,28618.0,15959.0,14621.0,51.09022293661332,2364.0,8.260535327416312
00924,58061.0,19510.0,26548.0,45.724324417423055,4470.0,7.698799538416493
00925,6877.0,12847.0,3592.0,52.23207794096263,649.0,9.437254616838738
00926,107139.0,35308.0,28104.0,26.23134432839582,4440.0,4.144149189370817
00927,15340.0,34572.0,3418.0,22.28161668839635,563.0,3.6701434159061277
00934,245.0,82721.0,74.0,30.20408163265306,0.0,0.0
00936,1151.0,,0.0,0.0,0.0,0.0
00949,81758.0,25514.0,29966.0,36.65207074537048,6070.0,7.424349910712102
00950,0.0,,0.0,,0.0,
00951,16.0,,16.0,100.0,0.0,0.0
00952,9611.0,18768.0,4075.0,42.399334096347935,860.0,8.94808032462803
00953,73236.0,28488.0,25471.0,34.77934349227156,5005.0,6.83407067562401
00956,77151.0,22212.0,29768.0,38.58407538463533,6883.0,8.921465697139377
00957,46252.0,23736.0,17574.0,37.99619475914555,3366.0,7.27752313413474
00959,48495.0,26264.0,15296.0,31.541396020208268,3075.0,6.34085988246211
00960,1496.0,,12.0,0.8021390374331551,0.0,0.0
00961,32691.0,29931.0,8712.0,26.649536569698082,2106.0,6.4421400385427185
00962,21717.0,16128.0,11827.0,54.45963991343187,2612.0,12.027443937928812
00965,8988.0,16139.0,4980.0,55.40720961281709,1183.0,13.161993769470405
00966,16371.0,52463.0,2809.0,17.158389835685053,934.0,5.7052104330828906
00968,3532.0,41936.0,349.0,9.881087202718007,185.0,5.237825594563986
00969,42756.0,50811.0,7142.0,16.70408831509028,1773.0,4.146786415941622
00971,30410.0,23241.0,11629.0,38.24071029266688,2948.0,9.694179546201907
00976,63387.0,30372.0,19646.0,30.993736886112295,2462.0,3.884077176708158
00979,16248.0,37906.0,3099.0,19.07311669128508,629.0,3.8712456917774496
00982,16216.0,26148.0,4965.0,30.61790823877652,905.0,5.580907745436606
