State/Zip,2000 Population
AL36866,3497
AL36867,19189
AL36869,18922
AL36870,11303
AL36871,1628
AL36874,6428
AL36875,5126
AL36877,10927
AL36879,1219
AL368HH,0
AL36901,450
AL36904,4692
AL36907,2313
AL36908,3133
AL36910,117
AL36912,2381
AL36915,853
AL36916,670
AL36919,2304
AL36921,687
AL36922,915
AL36925,3994
AL369HH,0
AL369XX,17
AL38852,
AK99501,16211
AK99502,18626
AK99503,13847
AK99504,37284
AK99505,5322
AK99506,6621
AK99507,27442
AK99508,33897
AK99513,268
AK99515,21307
AK99516,21546
AK99517,16696
AK99518,9245
AK99540,237
AK99546,316
AK99547,92
AK99548,142
AK99549,119
AK99550,270
AK99551,585
AK99552,309
AK99553,713
AK99554,652
AK99555,221
AK99556,2417
AK99557,768
AK99558,104
AK99559,6896
AK99561,394
AK99563,768
AK99564,79
AK99565,103
AK99566,149
AK99567,7665
AK99568,263
AK99569,75
AK99571,171
AK99572,369
AK99573,1211
AK99574,2564
AK99575,137
AK99576,2809
AK99577,22231
AK99578,280
AK99579,117
AK99580,130
AK99581,768
AK99583,64
AK99585,349
AK99586,609
AK99587,1817
AK99588,1189
AK99589,232
AK99590,194
AK99591,152
AK995HH,0
AK995XX,290
AK99602,227
AK99603,8534
AK99604,1014
AK99605,155
AK99606,444
AK99607,230
AK99608,27
AK99609,543
AK99610,1588
AK99611,12059
AK99612,792
AK99613,443
AK99614,644
AK99615,12987
AK99620,591
AK99621,713
AK99622,338
AK99624,115
AK99625,123
AK99626,267
AK99627,401
AK99628,399
AK99630,210
AK99631,221
AK99632,755
AK99633,678
AK99634,353
AK99635,1041
AK99636,471
AK99637,532
AK99638,39
AK99639,1001
AK99640,221
AK99641,466
AK99643,237
AK99644,244
AK99645,18880
AK99647,50
AK99648,112
AK99649,111
AK99650,550
AK99651,41
AK99652,3535
AK99653,124
AK99654,31034
AK99655,557
AK99656,55
AK99657,311
AK99658,624
AK99659,368
AK99660,532
AK99661,953
AK99662,467
AK99663,787
AK99664,4840
AK99665,129
AK99666,166
AK99667,161
AK99668,100
AK99669,13841
AK99670,137
AK99671,547
AK99672,2319
AK99674,898
AK99675,50
AK99676,1306
AK99677,107
AK99678,810
AK99679,428
AK99680,370
AK99681,325
AK99682,193
AK99683,475
AK99684,756
AK99685,828
AK99686,4043
AK99687,224
AK99688,2091
AK99689,679
AK99690,208
AK99691,106
AK99692,3455
AK99693,221
AK99694,559
AK99695,35
AK99697,31
AK996HH,0
AK996XX,343
AK99701,17555
AK99702,5388
AK99703,7374
AK99704,216
AK99705,16452
AK99709,24202
AK99712,9498
AK99714,1092
AK99720,200
AK99721,282
AK99722,152
AK99723,4572
AK99724,84
AK99725,193
AK99726,71
AK99727,406
AK99729,245
AK99730,134
AK99732,27
AK99733,100
AK99736,136
AK99737,3905
AK99738,222
AK99739,313
AK99740,623
AK99741,675
AK99742,649
AK99743,997
AK99744,260
AK99745,78
AK99746,293
AK99747,294
AK99748,230
AK99749,388
AK99750,377
AK99751,109
AK99752,3082
AK99753,297
AK99754,101
AK99755,182
AK99756,94
AK99757,32
AK99758,258
AK99759,247
AK99760,707
AK99761,428
AK99762,3906
AK99763,634
AK99764,323
AK99765,336
AK99766,757
AK99767,45
AK99768,188
AK99769,643
AK99770,772
AK99771,230
AK99772,562
AK99773,256
AK99774,87
AK99775,1061
AK99776,140
AK99777,308
AK99778,268
AK99779,117
AK99780,1421
AK99781,202
AK99782,546
AK99783,152
AK99784,203
AK99785,276
AK99786,309
AK99788,83
AK99789,434
AK99791,228
AK997HH,0
AK997XX,644
AK99801,28624
AK99820,572
AK99824,2087
AK99825,76
AK99826,429
AK99827,2520
AK99829,976
AK99830,710
AK99832,176
AK99833,3459
AK99835,8787
AK99840,862
AK99841,107
AK99850,10
AK998HH,0
AK998XX,239
AK99901,14030
AK99903,24
AK99918,230
AK99919,562
AK99921,1906
AK99922,385
AK99923,97
AK99925,955
AK99926,1447
AK99927,120
AK99929,2424
AK99950,36
AK999HH,0
AK999XX,424
AZ84536,
AZ85003,9252
AZ85004,4608
AZ85006,31616
AZ85007,15986
AZ85008,56379
AZ85009,56034
AZ85012,6276
AZ85013,20842
AZ85014,28516
AZ85015,42696
AZ85016,36417
AZ85017,40385
AZ85018,38786
AZ85019,25587
AZ85020,34721
AZ85021,37998
AZ85022,44673
AZ85023,33314
AZ85024,19324
AZ85027,38569
AZ85028,20565
AZ85029,46248
AZ85031,28731
AZ85032,69189
AZ85033,53748
AZ85034,8665
AZ85035,44664
AZ85037,33150
AZ85040,62948
AZ85041,32297
AZ85043,10820
AZ85044,39892
AZ85045,4558
AZ85048,33431
AZ85050,19177
AZ85051,41307
AZ85053,28460
AZ85054,2032
AZ85085,577
AZ85086,8655
AZ85087,3524
AZ850HH,0
AZ85201,50014
AZ85202,41112
AZ85203,36996
AZ85204,63796
AZ85205,40914
AZ85206,30260
AZ85207,25969
AZ85208,42055
AZ85210,38539
AZ85212,10383
AZ85213,31703
AZ85215,16198
AZ85219,24157
AZ85220,32615
AZ85221,2304
AZ85222,37854
AZ85223,4200
AZ85224,43544
AZ85225,66202
AZ85226,39345
AZ85228,11351
AZ85230,95
AZ85231,11410
AZ85232,19388
AZ85233,37909
AZ85234,36972
AZ85235,1332
AZ85236,8850
AZ85237,2795
AZ85239,7832
AZ85241,521
AZ85242,13273
AZ85245,332
AZ85247,4624
AZ85248,34886
AZ85249,9187
AZ85250,16728
AZ85251,37890
AZ85253,17560
AZ85254,49904
AZ85255,21374
AZ85256,4877
AZ85257,28027
AZ85258,24971
AZ85259,26587
AZ85260,35908
AZ85262,9264
AZ85263,1437
AZ85264,935
AZ85268,20268
AZ85272,1429
AZ85273,3271
AZ85281,51051
AZ85282,51244
AZ85283,43999
AZ85284,17550
AZ85292,2142
AZ85296,32732
AZ852HH,0
AZ852XX,372
AZ85301,62201
AZ85302,36732
AZ85303,22435
AZ85304,27350
AZ85305,5656
AZ85306,26529
AZ85307,10532
AZ85308,65274
AZ85309,682
AZ85310,22916
